Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,2018,10000,95.2,142.0,16.8,0,13.00,11.30,2.88,9.7,6.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.75,43.77,13.78,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,33.0,20.0,100.4,
0.010,2018,10000,95.2,142.0,16.8,0,13.20,11.40,2.88,9.7,6.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.65,41.63,13.77,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,33.0,20.0,100.4,
0.020,2018,10000,95.2,142.0,16.8,0,13.46,11.50,2.88,9.7,6.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.48,43.59,13.83,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,33.0,20.0,100.4,
0.030,1710,-8780,95.2,142.0,16.8,0,13.66,11.60,2.80,8.0,8.3,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.61,44.92,13.85,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.040,1710,-8780,95.2,142.0,16.8,0,13.78,11.80,2.80,8.0,8.3,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.74,44.15,13.83,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.050,1710,-8780,95.2,142.0,16.8,0,13.96,12.40,2.80,8.0,8.3,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.55,45.15,13.88,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.060,1710,-8780,95.2,142.0,16.8,0,13.40,12.70,2.80,8.0,8.3,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.54,44.57,13.69,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.070,1564,-3807,95.2,142.0,16.8,0,12.90,12.80,2.58,6.7,9.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.70,44.77,13.78,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.5,15.5,100.4,
0.080,1564,-3807,95.2,142.0,16.8,0,13.13,12.80,2.58,6.7,9.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.70,42.72,13.82,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,34.5,15.5,100.4,
0.090,0,-3807,95.2,142.0,16.8,0,13.42,12.70,2.58,6.7,9.2,100.0,121.3,100.0,100.0,100.0,1.0,0.0,0.54,45.07,13.86,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,41.0,0.0,100.4,
0.100,1797,0,95.2,142.0,16.8,0,13.64,12.70,2.59,7.8,10.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.32,45.32,13.86,122.2,145.6,0.00,0.0,7.36,13.97,100.0,0.0,0.0,33.5,17.5,100.4,
0.110,0,0,95.2,142.0,16.8,0,13.77,13.90,2.59,7.8,10.2,100.0,121.3,100.0,100.0,100.0,1.0,0.0,0.64,44.45,13.83,122.2,145.6,0.00,0.0,7.39,13.97,100.0,0.0,0.0,41.0,0.0,100.4,
0.120,0,0,95.2,142.0,16.8,0,13.84,13.80,2.59,7.8,10.2,100.0,121.3,100.0,100.0,100.0,1.0,0.0,1.02,44.42,13.84,122.2,145.6,0.00,0.0,7.38,13.97,100.0,0.0,0.0,41.0,0.0,100.4,
0.131,1720,0,95.2,142.0,16.8,0,13.77,13.30,2.40,6.9,10.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.87,43.97,13.67,122.2,145.6,0.00,0.0,7.38,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.140,1720,0,95.2,142.0,16.8,0,13.13,13.20,2.40,6.9,10.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.96,42.45,13.95,122.2,145.6,0.00,0.0,7.38,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.150,1720,0,95.2,142.0,16.8,0,13.21,13.00,2.40,6.9,10.9,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.81,40.84,13.88,122.2,145.6,0.00,0.0,7.39,13.97,100.0,0.0,0.0,34.0,17.0,100.4,
0.160,2195,10000,95.2,142.0,16.8,0,13.44,13.00,2.28,8.3,12.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.71,42.05,13.86,122.2,145.6,0.00,0.0,7.39,13.97,100.0,0.0,0.0,32.5,21.5,100.4,
0.170,2195,10000,95.2,142.0,16.8,0,13.65,13.00,2.28,8.3,12.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.90,43.59,13.86,122.2,145.6,0.00,0.0,7.38,13.97,100.0,0.0,0.0,32.5,21.5,100.4,
0.180,2195,10000,95.2,142.0,16.8,0,13.86,13.00,2.28,8.3,12.2,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.74,45.70,13.95,122.2,145.6,0.00,0.0,7.39,13.97,100.0,0.0,0.0,32.5,21.5,100.4,
0.190,2092,-3592,95.2,142.0,16.8,0,13.26,13.00,2.45,8.5,13.0,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.80,44.65,13.66,122.2,145.6,0.00,0.0,7.41,13.97,100.0,0.0,0.0,32.5,20.5,100.4,
0.201,2092,-3592,95.2,142.0,16.8,0,13.05,13.00,2.45,8.5,13.0,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.90,43.63,13.81,122.2,145.6,0.00,0.0,7.39,13.97,100.0,0.0,0.0,32.5,20.5,100.4,
