Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1067,9112,102.4,152.8,16.8,-5,13.02,11.60,2.70,4.8,3.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.14,44.63,13.80,147.4,156.4,0.00,0.0,7.36,13.30,100.0,6.0,0.0,49.0,10.5,100.0,
0.010,1067,9112,102.4,152.8,16.9,5,13.43,11.70,2.70,4.8,3.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.09,45.13,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,6.0,0.0,49.0,10.5,100.0,
0.020,1067,9112,102.4,152.8,16.9,-2,13.66,11.70,2.70,4.8,3.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.06,43.97,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,6.0,0.0,49.0,10.5,100.0,
0.030,1067,9112,102.4,152.8,16.9,2,13.76,11.50,2.70,4.8,3.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.02,44.57,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,6.0,0.0,49.0,10.5,100.0,
0.040,0,9112,102.4,152.8,16.9,0,13.82,11.00,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.27,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.050,0,9112,102.4,152.8,16.9,0,14.35,10.40,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.01,45.02,14.33,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.060,0,9112,102.4,152.8,16.9,0,15.03,9.60,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.04,43.97,13.88,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.073,0,9112,102.4,152.8,16.8,-5,15.09,8.90,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.07,43.42,14.05,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.080,0,9112,102.4,152.8,16.9,3,14.77,8.40,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.08,43.13,13.93,149.2,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.090,0,9112,102.4,152.8,16.8,-3,14.31,8.60,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.09,43.00,13.73,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.100,0,9112,102.4,152.8,16.8,-8,14.01,9.00,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.10,42.45,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.110,0,9112,102.4,152.8,16.8,0,13.85,9.40,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.12,42.09,13.75,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.120,0,9112,102.4,152.8,16.8,2,13.77,9.80,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,41.90,13.75,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.130,0,9112,102.4,152.8,16.8,-2,13.76,10.10,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,41.55,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.140,0,9112,102.4,152.8,16.8,8,13.80,10.30,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.15,41.59,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.150,0,9112,102.4,152.8,16.9,3,13.86,10.60,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.15,41.15,13.80,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.160,0,9112,102.4,152.8,16.9,0,13.91,10.80,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,40.95,13.79,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.170,0,9112,102.4,152.8,16.9,2,13.94,11.00,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.11,40.75,13.79,149.2,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.181,0,9112,102.4,152.8,16.9,-2,13.89,11.10,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.09,40.47,13.78,149.2,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.190,0,9112,102.4,152.8,16.8,-3,13.87,11.30,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.05,40.25,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.200,0,9112,102.4,152.8,16.8,-3,13.88,11.30,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.95,13.80,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.210,0,9112,102.4,152.8,16.8,-5,13.88,11.10,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.75,13.79,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.220,0,9112,102.4,152.8,16.8,2,13.88,10.70,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.59,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.230,0,9112,102.4,152.8,16.8,-2,13.88,10.20,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.42,13.79,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.240,0,9112,102.4,152.8,16.8,2,13.88,10.10,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.22,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.251,0,9112,102.4,152.8,16.8,-2,13.88,10.30,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,39.07,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.260,0,9112,102.4,152.8,16.8,5,13.88,10.60,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.97,13.77,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.270,0,9112,102.4,152.8,16.9,8,13.88,10.80,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.01,38.80,13.78,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.280,0,9112,102.4,152.8,16.9,-2,13.88,11.00,2.70,4.8,3.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.08,38.63,13.79,147.4,156.4,0.00,0.0,7.36,13.30,100.0,0.0,0.0,65.5,0.0,100.0,
0.290,200,0,102.4,152.8,16.8,-6,13.88,11.10,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.12,38.55,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.300,200,0,102.4,152.8,16.8,-5,13.88,11.20,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,38.40,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.310,200,0,102.4,152.8,16.8,2,13.86,11.30,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,38.25,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.320,200,0,102.4,152.8,16.8,0,13.87,11.40,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.10,39.82,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
