Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1414,10000,129.4,158.2,17.1,0,12.90,11.50,2.79,6.6,4.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.02,42.50,13.79,183.4,161.8,0.00,0.0,7.36,13.97,100.0,23.0,0.0,49.5,14.0,100.7,
0.010,1414,10000,129.4,158.2,17.1,0,13.24,11.60,2.79,6.6,4.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.01,41.34,13.79,183.4,161.8,0.00,0.0,7.36,13.97,100.0,23.0,0.0,49.5,14.0,100.7,
0.020,0,10000,129.4,158.2,17.1,-5,13.50,11.50,2.79,6.6,4.5,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,44.70,13.80,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
0.030,1352,10000,129.4,158.2,17.1,5,13.64,11.10,2.79,6.6,4.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.00,44.13,13.79,183.4,161.8,0.00,0.0,7.36,13.97,100.0,22.0,0.0,50.5,13.5,100.7,
0.040,1352,0,129.4,158.2,17.1,3,13.75,10.50,2.83,6.4,6.0,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.00,43.59,13.79,183.4,161.8,0.00,0.0,7.36,13.97,100.0,22.0,0.0,50.5,13.5,100.7,
0.050,0,0,129.4,158.2,17.2,2,14.48,9.60,2.83,6.4,6.0,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,41.70,14.10,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
0.060,0,0,129.4,158.2,17.2,0,14.95,8.80,2.83,6.4,6.0,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,42.30,14.16,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
0.070,0,0,129.4,158.2,17.2,0,15.12,7.90,2.83,6.4,6.0,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,39.65,14.15,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
0.080,0,0,129.4,158.2,17.2,0,14.81,7.40,2.83,6.4,6.0,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,39.70,13.96,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
0.090,0,0,129.4,158.2,17.2,0,14.31,7.80,2.83,6.4,6.0,100.0,122.7,100.0,100.0,100.0,1.0,0.0,0.00,40.72,13.78,183.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.7,
